unstructured_sparsity,precision,f1,em,category,unstructured_density,linear_density,linear_sparsity,speedup,delta_f1,delta_em,delta_f1 (%),delta_em (%)
90.0,8bit,7.538279081051156,0.9176915799432356,post-training sparsity + 8bit,10.0,2.376302083333333,97.62369791666667,,-0.914821705298857,-0.9886424309412966,-91.48217052988569,-98.86424309412966
90.0,FP32,7.9729587865411355,1.0028382213812677,post-training sparsity,10.0,2.376302083333333,97.62369791666667,,-0.9099100702085746,-0.9875886358739943,-90.99100702085747,-98.75886358739943
80.0,8bit,11.878201261581356,1.5515610217596973,post-training sparsity + 8bit,20.0,4.752604166666666,95.24739583333333,,-0.865783036592301,-0.9807975121069344,-86.5783036592301,-98.07975121069344
80.0,FP32,11.432449719509997,1.5894039735099337,post-training sparsity,20.0,4.752604166666666,95.24739583333333,,-0.8708197771806779,-0.980329158743689,-87.08197771806779,-98.0329158743689
70.0,8bit,67.94070210037802,54.512771996215704,post-training sparsity + 8bit,30.0,7.12890625,92.87109375,,-0.23230845084318624,-0.32533698024485513,-23.230845084318624,-32.53369802448552
70.0,FP32,66.09247659508183,52.70577105014191,post-training sparsity,30.0,7.12890625,92.87109375,,-0.25319235485783237,-0.3477008533398278,-25.31923548578324,-34.77008533398278
60.0,8bit,84.47683981460399,75.91296121097446,post-training sparsity + 8bit,40.0,9.505208333333332,90.49479166666667,,-0.04545943712311874,-0.060483153329523996,-4.545943712311875,-6.0483153329523995
60.0,FP32,85.19288168843389,76.98202459791864,post-training sparsity,40.0,9.505208333333332,90.49479166666667,,-0.03736856849227248,-0.047252170817838605,-3.7368568492272476,-4.72521708178386
50.0,8bit,86.24685228176205,78.25922421948913,post-training sparsity + 8bit,50.0,11.881510416666668,88.11848958333333,,-0.025459296251276325,-0.03144524480830285,-2.5459296251276324,-3.1445244808302855
50.0,FP32,87.08725757487188,79.64049195837275,post-training sparsity,50.0,11.881510416666668,88.11848958333333,,-0.015963191244385486,-0.01435034704984218,-1.5963191244385486,-1.435034704984218
40.0,8bit,86.72664517548134,79.01608325449385,post-training sparsity + 8bit,60.0,14.2578125,85.7421875,,-0.020037907621679802,-0.02207817754339291,-2.0037907621679802,-2.207817754339291
40.0,FP32,87.4816401046162,80.1608325449385,post-training sparsity,60.0,14.2578125,85.7421875,,-0.011506891473263229,-0.007910488305216542,-1.150689147326323,-0.7910488305216542
30.0,8bit,86.6804134582558,78.89309366130558,post-training sparsity + 8bit,70.0,16.634114583333336,83.36588541666666,,-0.02056029990671413,-0.023600325973940746,-2.056029990671413,-2.3600325973940746
30.0,FP32,87.62809130023092,80.23651844843897,post-training sparsity,70.0,16.634114583333336,83.36588541666666,,-0.009852075703605417,-0.006973781578725565,-0.9852075703605417,-0.6973781578725565
20.0,8bit,86.84884927561338,78.94985808893094,post-training sparsity + 8bit,80.0,19.010416666666664,80.98958333333334,,-0.01865707033205226,-0.022897795929072515,-1.865707033205226,-2.2897795929072515
20.0,FP32,87.63299272544631,80.24597918637653,post-training sparsity,80.0,19.010416666666664,80.98958333333334,,-0.009796692367838256,-0.006856693237914193,-0.9796692367838256,-0.6856693237914193
10.0,8bit,86.93940972559902,79.06338694418164,post-training sparsity + 8bit,90.0,21.38671875,78.61328125,,-0.017633788411310504,-0.02149273583933605,-1.7633788411310505,-2.149273583933605
10.0,FP32,87.68914211415152,80.32166508987702,post-training sparsity,90.0,21.38671875,78.61328125,,-0.009162235998287882,-0.0059199865114230405,-0.9162235998287882,-0.5919986511423041
0.0,8bit,86.79121429650793,78.77956480605488,post-training sparsity + 8bit,100.0,23.763020833333336,76.23697916666666,,-0.019308313033808686,-0.02500538606367721,-1.9308313033808686,-2.500538606367721
0.0,FP32,87.69004456685987,80.33112582781457,post-training sparsity,100.0,23.763020833333336,76.23697916666666,,-0.009152038792543867,-0.005802898170611669,-0.9152038792543867,-0.5802898170611669
80.0,8bit,83.73137151128175,75.04257332071901,sparsity + 8bit + nncfkd,20.0,4.752604166666666,95.24739583333333,,-0.05388280778212711,-0.07125528068417057,-5.388280778212711,-7.125528068417057
90.0,8bit,63.293702461273945,50.113528855250706,sparsity + 8bit + nncfkd,10.0,2.376302083333333,97.62369791666667,,-0.28481692134153735,-0.3797830587221447,-28.481692134153736,-37.97830587221447
70.0,8bit,85.83138658906228,78.01324503311258,sparsity + 8bit + nncfkd,30.0,7.12890625,92.87109375,,-0.030153823852403654,-0.0344895416693987,-3.0153823852403656,-3.44895416693987
60.0,8bit,86.73883401917432,78.9593188268685,sparsity + 8bit + nncfkd,40.0,9.505208333333332,90.49479166666667,,-0.01990018057430147,-0.022780707588261142,-1.9900180574301471,-2.278070758826114
50.0,8bit,87.03736756462803,79.09176915799432,sparsity + 8bit + nncfkd,50.0,11.881510416666668,88.11848958333333,,-0.016526920173694604,-0.021141470816901934,-1.6526920173694604,-2.1141470816901933
65.0,8bit,86.85476017219393,79.16745506149479,sparsity + 8bit + bt,35.0,8.317057291666668,91.68294270833333,,-0.018590280540181532,-0.020204764090410957,-1.8590280540181532,-2.0204764090410956
90.0,8bit,66.65766016376959,53.95458845789972,sparsity + 8bit + bt,10.0,2.376302083333333,97.62369791666667,,-0.2468060998444114,-0.33224519235272626,-24.68060998444114,-33.22451923527262
80.0,8bit,84.65880809806485,75.82781456953643,sparsity + 8bit + bt,20.0,4.752604166666666,95.24739583333333,,-0.043403298326950814,-0.061536948396826344,-4.340329832695081,-6.153694839682634
70.0,8bit,86.46939882746065,78.55250709555345,sparsity + 8bit + bt,30.0,7.12890625,92.87109375,,-0.022944646017393773,-0.027815506243150316,-2.2944646017393775,-2.7815506243150314
60.0,8bit,87.34050274726575,79.85808893093662,sparsity + 8bit + bt,40.0,9.505208333333332,90.49479166666667,,-0.013101663872703445,-0.011657315211180446,-1.3101663872703446,-1.1657315211180446
50.0,8bit,87.52262015125488,79.93377483443709,sparsity + 8bit + bt,50.0,11.881510416666668,88.11848958333333,,-0.01104384009881487,-0.01072060848468947,-1.104384009881487,-1.0720608484689471
80.0,8bit,84.40811683365823,75.87511825922422,sparsity + 8bit + lt,20.0,4.752604166666666,95.24739583333333,,-0.046235967981262976,-0.06095150669276948,-4.6235967981262975,-6.095150669276948
70.0,8bit,86.58235572370229,78.96877956480606,sparsity + 8bit + lt,30.0,7.12890625,92.87109375,,-0.021668296907318727,-0.022663619247449772,-2.166829690731873,-2.2663619247449773
90.0,8bit,66.08867124409865,53.434247871333966,sparsity + 8bit + lt,10.0,2.376302083333333,97.62369791666667,,-0.25323535317402657,-0.33868505109735186,-25.32353531740266,-33.86850510973519
65.0,8bit,87.36421210156931,79.90539262062441,sparsity + 8bit + lt,35.0,8.317057291666668,91.68294270833333,,-0.012833761564188612,-0.011071873507123587,-1.283376156418861,-1.1071873507123586
60.0,8bit,87.61619418222885,80.31220435193946,sparsity + 8bit + lt,40.0,9.505208333333332,90.49479166666667,,-0.009986506415493191,-0.006037074852234413,-0.9986506415493192,-0.6037074852234413
50.0,8bit,87.59209878290773,80.2081362346263,sparsity + 8bit + lt,50.0,11.881510416666668,88.11848958333333,,-0.010258770814601964,-0.007325046601159681,-1.0258770814601965,-0.7325046601159682
0.0,FP32,90.26969803251558,83.72753074739829,structured pruning,100.0,45.493344907407405,54.506655092592595,1.5606414607482133,0.019996587938029126,0.03623181618067195,1.9996587938029127,3.623181618067195
0.0,FP32,89.81145528969563,82.95175023651845,structured pruning,100.0,35.657190393518505,64.3428096064815,1.8333442967227587,0.014818703838368698,0.026630572234139265,1.4818703838368699,2.6630572234139267
0.0,FP32,89.00029318511001,81.97729422894986,structured pruning,100.0,29.078052662037038,70.92194733796296,2.075387764969063,0.005653030340226102,0.014570473130567594,0.5653030340226103,1.4570473130567594
0.0,FP32,88.30880074775172,81.16367076631977,structured pruning,100.0,23.75940393518519,76.24059606481481,2.306354828560857,-0.0021604435282291745,0.004500875820789247,-0.21604435282291745,0.4500875820789247
0.0,FP32,87.15966661496869,79.48912015137181,structured pruning,100.0,19.692201967592595,80.3077980324074,2.6186173775098402,-0.015145010000353837,-0.016223760502824133,-1.5145010000353838,-1.6223760502824134
